"Titre de tracé : 20347223"
"Date";"Heure, GMT+02:00";"Temp., °C (LGR S/N: 20347223, SEN S/N: 20347223)";"Coupleur attaché (LGR S/N: 20347223)";"Hôte connecté (LGR S/N: 20347223)";"Arrêté (LGR S/N: 20347223)";"Fin de fichier (LGR S/N: 20347223)"
2022-07-28;13:39:10;25,319;;;;
2022-07-28;13:39:20;25,222;;;;
2022-07-28;13:39:30;25,125;;;;
2022-07-28;13:39:40;25,125;;;;
2022-07-28;13:39:50;25,222;;;;
2022-07-28;13:40:00;25,416;;;;
2022-07-28;13:40:10;25,513;;;;
2022-07-28;13:40:20;25,610;;;;
2022-07-28;13:40:30;25,319;;;;
2022-07-28;13:40:40;24,931;;;;
2022-07-28;13:40:50;24,738;;;;
2022-07-28;13:41:00;24,351;;;;
2022-07-28;13:41:10;24,158;;;;
2022-07-28;13:41:20;23,966;;;;
2022-07-28;13:41:30;23,869;;;;
2022-07-28;13:41:40;23,869;;;;
2022-07-28;13:41:50;24,062;;;;
2022-07-28;13:42:00;24,545;;;;
2022-07-28;13:42:10;24,641;;;;
2022-07-28;13:42:20;24,738;;;;
2022-07-28;13:42:30;24,931;;;;
2022-07-28;13:42:40;24,738;;;;
2022-07-28;13:42:50;24,255;;;;
2022-07-28;13:43:00;23,966;;;;
2022-07-28;13:43:10;23,677;;;;
2022-07-28;13:43:20;23,581;;;;
2022-07-28;13:43:30;23,581;;;;
2022-07-28;13:43:40;23,966;;;;
2022-07-28;13:43:50;24,158;;;;
2022-07-28;13:44:00;24,255;;;;
2022-07-28;13:44:10;24,255;;;;
2022-07-28;13:44:20;24,351;;;;
2022-07-28;13:44:30;24,448;;;;
2022-07-28;13:44:40;24,448;;;;
2022-07-28;13:44:50;24,448;;;;
